
2024/11/10 (11:52:22) | ===> btop++ v.1.4.0
2024/11/10 (11:52:22) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/11/10 (12:17:57) | ===> btop++ v.1.4.0
2024/11/10 (12:17:57) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/11/10 (12:18:34) | ===> btop++ v.1.4.0
2024/11/10 (12:18:34) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/11/10 (12:20:15) | ===> btop++ v.1.4.0
2024/11/10 (12:20:15) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/11/10 (12:22:36) | ===> btop++ v.1.4.0
2024/11/10 (12:22:36) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/11/10 (12:30:36) | ===> btop++ v.1.4.0
2024/11/10 (12:30:36) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/11/10 (12:33:07) | ===> btop++ v.1.4.0
2024/11/10 (12:33:07) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/11/10 (12:34:02) | ===> btop++ v.1.4.0
2024/11/10 (12:34:02) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/11/10 (12:34:53) | ===> btop++ v.1.4.0
2024/11/10 (12:34:53) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/11/10 (12:37:50) | ===> btop++ v.1.4.0
2024/11/10 (12:37:50) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/11/10 (12:37:53) | ===> btop++ v.1.4.0
2024/11/10 (12:37:53) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/11/10 (13:18:48) | ===> btop++ v.1.4.0
2024/11/10 (13:18:48) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/11/10 (13:26:57) | ===> btop++ v.1.4.0
2024/11/10 (13:26:57) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/11/10 (13:27:52) | ===> btop++ v.1.4.0
2024/11/10 (13:27:52) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/11/10 (15:38:07) | ===> btop++ v.1.4.0
2024/11/10 (15:38:07) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/11/10 (15:38:22) | ===> btop++ v.1.4.0
2024/11/10 (15:38:22) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/11/10 (16:38:01) | ===> btop++ v.1.4.0
2024/11/10 (16:38:01) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/11/10 (16:39:20) | ===> btop++ v.1.4.0
2024/11/10 (16:39:20) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/11/12 (22:48:12) | ===> btop++ v.1.4.0
2024/11/12 (22:48:12) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/11/15 (19:14:27) | ===> btop++ v.1.4.0
2024/11/15 (19:14:27) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/11/15 (19:15:01) | ===> btop++ v.1.4.0
2024/11/15 (19:15:01) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/11/15 (19:15:18) | ===> btop++ v.1.4.0
2024/11/15 (19:15:18) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/11/15 (19:15:20) | ===> btop++ v.1.4.0
2024/11/15 (19:15:20) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/11/15 (19:15:24) | ===> btop++ v.1.4.0
2024/11/15 (19:15:24) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/11/15 (19:19:03) | ===> btop++ v.1.4.0
2024/11/15 (19:19:03) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/11/15 (19:19:17) | ===> btop++ v.1.4.0
2024/11/15 (19:19:17) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/11/15 (19:19:25) | ===> btop++ v.1.4.0
2024/11/15 (19:19:25) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/11/15 (20:40:21) | ===> btop++ v.1.4.0
2024/11/15 (20:40:21) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/11/15 (21:29:21) | ===> btop++ v.1.4.0
2024/11/15 (21:29:21) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/11/15 (21:36:07) | ===> btop++ v.1.4.0
2024/11/15 (21:36:07) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/11/15 (21:39:38) | ===> btop++ v.1.4.0
2024/11/15 (21:39:38) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/11/15 (22:12:47) | ===> btop++ v.1.4.0
2024/11/15 (22:12:47) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/11/15 (22:20:55) | ===> btop++ v.1.4.0
2024/11/15 (22:20:55) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/11/16 (18:25:20) | ===> btop++ v.1.4.0
2024/11/16 (18:25:20) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/11/16 (18:33:13) | ===> btop++ v.1.4.0
2024/11/16 (18:33:13) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

